continent,region,country,pop2018,cbr,cdr,rate_inc,netmig,projpop2030,projpop2050,imr,tfr,gnigdp,pcturban,popdens,pctwomcontra_all,pctwomcontra_mod,pctmalehiv,pctfemhiv,e0male,e0female,e65male,e65female,pctlt15_2018,pctlt15_2050,pct65p_2018,pct65p_2050
EUROPE,EASTERN EUROPE,Ukraine,42.3,9,14,-0.5,0,39.6,35,7.7,1.3,8900,70,130.0,65,48,1,0.9,67,76,13,17,15,15,16,25
ASIA,WESTERN ASIA,United Arab Emirates,9.5,10,2,0.8,8,11.1,13.2,6,1.8,74410,87,25444.0,,,,,77,79,16,17,14,12,1,14
EUROPE,NORTHERN EUROPE,United Kingdom,66.4,12,9,0.3,6,70.4,74.7,3.9,1.8,43160,83,1105.0,84,84,,,79,83,19,21,18,16,18,25
NORTHERN AMERICA,NORTHERN AMERICA,United States,328,12,9,0.3,3,354.7,389.6,5.6,1.8,60200,82,215.0,73,63,,,76,81,19,21,19,17,15,22
SOUTH AMERICA,SOUTH AMERICA,Uruguay,3.5,14,9,0.5,-1,3.6,3.7,11.5,2,21870,95,145.0,80,78,0.9,0.3,74,81,16,21,21,17,15,22
ASIA,CENTRAL ASIA,Uzbekistan,32.9,22,5,1.7,-1,38.7,46.5,11,2.5,7130,51,748.0,65,62,0.3,0.2,71,76,13,16,28,19,4,13
OCEANIA,OCEANIA,Vanuatu,0.3,27,5,2.2,0,0.4,0.6,22,3.5,3170,25,1516.0,49,37,,,70,74,14,16,36,27,4,10
SOUTH AMERICA,SOUTH AMERICA,Venezuela,31.8,19,5,1.4,-1,36.1,40.5,12.5,2.4,17440,88,1179.0,75,,,,73,79,16,19,26,19,7,16
ASIA,SOUTHEAST ASIA,Vietnam,94.7,16,7,0.9,0,103.2,108.2,15,2.1,6450,35,1353.0,76,65,0.4,0.2,71,76,16,21,24,17,8,22
AFRICA,NORTHERN AFRICA,Western Sahara,0.6,20,5,1.5,7,0.7,0.9,30,2.3,,87,14150.0,,,,,68,72,13,15,28,20,3,12
ASIA,WESTERN ASIA,Yemen,28.9,32,6,2.5,-1,36.8,48.3,44,4,2380,37,2317.0,34,29,,,64,66,12,14,40,26,3,6
AFRICA,EASTERN AFRICA,Zambia,17.7,39,8,3.1,0,25.8,45.1,49,5.2,3920,44,465.0,49,45,8.8,14.3,59,64,14,15,45,36,2,4
AFRICA,EASTERN AFRICA,Zimbabwe,14,34,10,2.4,-10,17.6,25.6,50,4,1850,32,351.0,67,66,10.5,16.1,58,62,14,15,39,28,4,6
