continent,region,country,pop2018,cbr,cdr,rate_inc,netmig,projpop2030,projpop2050,imr,tfr,gnigdp,pcturban,popdens,pctwomcontra_all,pctwomcontra_mod,pctmalehiv,pctfemhiv,e0male,e0female,e65male,e65female,pctlt15_2018,pctlt15_2050,pct65p_2018,pct65p_2050
EUROPE,EASTERN EUROPE,Hungary,9.8,9,14,-0.4,1,9.6,9.2,3.6,1.5,27220,71,221.0,62,54,0.1,0.1,72,79,15,19,15,14,19,28
EUROPE,NORTHERN EUROPE,Iceland,0.4,12,7,0.5,24,0.4,0.4,2.7,1.7,53640,94,292.0,,,,,81,84,20,22,19,16,14,25
ASIA,SOUTH ASIA,India,1371.3,20,6,1.4,0,1532.3,1680.1,34,2.3,7060,34,876.0,54,48,0.2,0.2,67,70,14,15,28,19,6,13
ASIA,SOUTHEAST ASIA,Indonesia,265.2,19,7,1.2,-1,293.9,319.7,22,2.4,11900,54,1129.0,61,59,0.5,0.3,67,71,12,14,28,20,5,14
ASIA,SOUTH ASIA,Iran,81.6,19,5,1.4,-3,88.4,93.1,5,2,21010,74,555.0,77,57,0.2,0.1,75,77,16,16,24,15,6,23
ASIA,WESTERN ASIA,Iraq,40.2,31,4,2.7,2,53.4,76.5,38,4.1,17010,70,798.0,53,36,,,68,72,13,15,40,32,3,6
EUROPE,NORTHERN EUROPE,Ireland,4.9,13,6,0.7,4,5.5,6.8,2.8,1.8,62440,63,472.0,65,61,0.3,0.2,78,83,18,21,21,18,14,26
ASIA,WESTERN ASIA,Israel,8.5,21,5,1.6,3,10.8,14.4,3,3.1,38060,91,2857.0,,,,,81,84,20,22,28,23,11,17
EUROPE,SOUTHERN EUROPE,Italy,60.6,8,11,-0.3,3,60.1,57.6,2.9,1.3,40030,70,917.0,65,52,0.3,0.2,81,85,20,22,13,13,23,35
NORTHERN AMERICA,CARIBBEAN,Jamaica,2.9,17,7,1,-6,2.9,2.7,14,2,8690,56,2416.0,73,68,2.4,1.2,74,78,17,20,23,16,9,22
ASIA,EAST ASIA,Japan,126.5,8,11,-0.3,1,119.1,101.8,2,1.4,45470,92,3012.0,40,34,0.1,0.1,81,87,19,24,12,13,28,36
ASIA,WESTERN ASIA,Jordan,10.2,24,3,2.1,0,12,13.4,15,3.2,9110,90,4462.0,61,42,,,73,76,15,17,35,24,4,11
ASIA,CENTRAL ASIA,Kazakhstan,18.4,23,7,1.5,-1,20.5,24.7,9,3,23440,57,63.0,56,54,0.3,0.1,68,77,12,16,25,22,7,13
AFRICA,EASTERN AFRICA,Kenya,51,31,6,2.6,0,67,95.5,36,3.9,3250,32,878.0,62,60,3.5,6.2,65,69,14,16,41,29,3,7
OCEANIA,OCEANIA,Kiribati,0.1,29,7,2.2,-4,0.1,0.2,44,3.8,3850,54,5757.0,22,18,,,63,70,12,14,35,28,4,8
ASIA,EAST ASIA,Korea North,25.6,14,9,0.5,0,26.7,26.8,12,1.9,,62,1090.0,70,69,,,68,75,11,17,21,16,10,20
ASIA,EAST ASIA,Korea South,51.8,7,6,0.1,2,52.9,49.4,2.8,1.1,38260,82,3537.0,80,,,,79,85,18,23,13,12,14,35
EUROPE,SOUTHERN EUROPE,Kosovof,1.8,13,5,0.8,0,1.8,1.7,9,1.7,11050,38,,,,,,74,79,,,24,,8,
